sep=,
name,category,equipment,measure,load_mode,video,notes
Jump Rope,Warm-Up,Jump Rope,time,,,
Jump Rope Single Leg,Warm-Up,Jump Rope,time,,,
Open Book T-Spine Rotation,Mobility,Bodyweight,reps,,,
Thread the Needle,Mobility,Bodyweight,reps,,,
Seated T-Spine Rotation,Mobility,Bodyweight,reps,,,
90/90 Hip Switch,Mobility,Bodyweight,reps,,,
Half-Kneeling Hip Flexor Stretch,Mobility,Bodyweight,time,,,
World's Greatest Stretch,Mobility,Bodyweight,reps,,,
Ankle Wall Mobilisation,Mobility,Bodyweight,reps,,,
Shoulder CARs,Mobility,Bodyweight,reps,,,
Wrist Flexor & Extensor Stretch,Mobility,Bodyweight,time,,,
Cat-Cow,Mobility,Bodyweight,reps,,,
Standing Trunk Rotation with Club,Mobility,Bodyweight,reps,,,
Pallof Press,Stability,Resistance Tube,reps,,,
Half-Kneeling Pallof Press,Stability,Resistance Tube,reps,,,
Resisted Chop,Stability,Resistance Tube,reps,,,
Resisted Lift,Stability,Resistance Tube,reps,,,
Dead Bug,Stability,Bodyweight,reps,,,
Bird Dog,Stability,Bodyweight,reps,,,
Front Plank,Stability,Bodyweight,time,,,
Side Plank,Stability,Bodyweight,time,,,
Copenhagen Plank,Stability,Bodyweight,time,,,
Strap Anti-Rotation Hold,Stability,Strap,time,kg,,
Cable Pallof Press,Stability,Cable Cross Machine,reps,,,
TRX Fallout,Stability,TRX,reps,,,
Suitcase Carry,Stability,Kettlebell,time,,,
Glute Bridge,Stability,Bodyweight,reps,,,
Single-Leg Glute Bridge,Stability,Bodyweight,reps,,,
Med Ball Rotational Scoop Toss,Rotational Power,Medicine Ball,reps,,,
Med Ball Side Slam,Rotational Power,Medicine Ball,reps,,,
Med Ball Overhead Slam,Rotational Power,Medicine Ball,reps,,,
Med Ball Shot Put Throw,Rotational Power,Medicine Ball,reps,,,
Med Ball Step-Behind Throw,Rotational Power,Medicine Ball,reps,,,
Strap Resisted Rotation,Rotational Power,Strap,reps,kg,,
Cable Rotational Press,Rotational Power,Cable Cross Machine,reps,,,
Rip Trainer Rotational Press,Rotational Power,TRX Rip Trainer,reps,,,
Rip Trainer Chop,Rotational Power,TRX Rip Trainer,reps,,https://www.youtube.com/watch?v=GbvL0jV8K20,
Rip Trainer Lift,Rotational Power,TRX Rip Trainer,reps,,https://www.youtube.com/shorts/tjgF2QFhCxQ,
Landmine Rotation,Rotational Power,Barbell,reps,,,
Band Resisted Rotation,Rotational Power,Resistance Tube,reps,,,
Speed Club Swings,Rotational Power,Bodyweight,reps,,,
Barbell Back Squat,Lower Body,Barbell,reps,,,
Goblet Squat,Lower Body,Kettlebell,reps,,,
Trap Bar Deadlift,Lower Body,Trap Bar,reps,,,
Romanian Deadlift,Lower Body,Barbell,reps,,,
Single-Leg RDL,Lower Body,Dumbbell,reps,,,
Bulgarian Split Squat,Lower Body,Dumbbell,reps,,,
Reverse Lunge,Lower Body,Dumbbell,reps,,,
Lateral Lunge,Lower Body,Dumbbell,reps,,,
Hip Thrust,Lower Body,Barbell,reps,,,
Step-Up,Lower Body,Dumbbell,reps,,,
Nordic Hamstring Curl,Lower Body,Bodyweight,reps,,,
Standing Calf Raise,Lower Body,Dumbbell,reps,,,
One-Arm Dumbbell Row,Upper Body,Dumbbell,reps,,,
Chest-Supported Row,Upper Body,Dumbbell,reps,,,
TRX Row,Upper Body,TRX,reps,,,
TRX Chest Press,Upper Body,TRX,reps,,,
Lat Pulldown,Upper Body,Cable Cross Machine,reps,,,
Cable Seated Row,Upper Body,Cable Cross Machine,reps,,,
Cable Face Pull,Upper Body,Cable Cross Machine,reps,,,
Banded Lat Pulldown,Upper Body,Resistance Tube,reps,,,
Pull-Up,Upper Body,Bodyweight,reps,,,
Push-Up,Upper Body,Bodyweight,reps,,,
Dumbbell Bench Press,Upper Body,Dumbbell,reps,,,
Half-Kneeling Landmine Press,Upper Body,Barbell,reps,,,
Face Pull,Upper Body,Resistance Tube,reps,,,
Reverse Fly,Upper Body,Dumbbell,reps,,,
T-Y-W Raise,Upper Body,Resistance Tube,reps,,,
Farmer's Carry,Upper Body,Kettlebell,time,,,
Strap Resisted Swing,Golf Specific,Strap,reps,kg,,
Step-Change Drill,Golf Specific,Bodyweight,reps,,,
Pump Drill,Golf Specific,Bodyweight,reps,,,
Impact Bag Drill,Golf Specific,Bodyweight,reps,,,
Lead-Arm Only Swings,Golf Specific,Bodyweight,reps,,,
Slow-Motion Sequencing Swings,Golf Specific,Bodyweight,reps,,,
Overspeed Swing Set,Golf Specific,Bodyweight,reps,,,
Strap Reverse Lunge,Golf Specific,Strap,reps,kg,,
T-Spine Rotation / Elbow Drops,Mobility,Bodyweight,reps,,,
Reverse Lunge to Post,Lower Body,Dumbbell,reps,,,
Lateral Lunge to Post,Lower Body,Dumbbell,reps,,,
Split Stance Lateral Pulls W/ Rotation,Golf Specific,Resistance Tube,reps,,,
Band Single Leg Chest Press,Upper Body,Resistance Tube,reps,,,
Loop Band Single Leg Abduction,Lower Body,Bodyweight,reps,,,
3 Cone Drill,Stability,Bodyweight,reps,,,
Med Ball Single Leg Overhead Slams,Stability,Medicine Ball,reps,,,
Single Leg RDL W/ Extension,Stability,Dumbbell,reps,,,
Forearm Transfer,Stability,Bodyweight,reps,,,
